ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
2020,1,51,1,1,1,2,2,2,0,15,20,16,15,0,12,1,0.25,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1
2022,2,66,1,1,7,0,2,2,0,15,12,8,12,0,12,5,-1,1,2,5,0,1,1,1,1,2,2,1,2,2,2,2
2024,1,57,1,3,4,2,2,2,0,17,12,12,0,12,12,1,17,2,1,0,1,2,3,1,1,1,1,1,4,4,2,1
2028,2,58,1,3,7,3,1,1,0,19,12,0,0,12,12,1,4,2,2,0,1,1,1,1,1,1,1,2,3,3,2,1
2031,2,28,1,1,1,0,2,2,0,15,16,10,14,11,12,2,5,2,2,2,3,2,2,1,2,1,0,2,4,2,2,1
2037,1,37,1,5,0,1,1,1,0,14,16,0,0,12,12,1,0.75,2,2,0,3,2,2,1,1,1,3,2,2,2,2,1
2039,1,41,1,3,4,0,1,1,0,10,12,14,0,0,11,4,-1,2,2,0,0,4,3,2,2,0,0,2,3,3,2,1
2050,1,35,1,4,3,0,3,3,0,12,0,12,0,12,12,1,0.75,2,1,0,1,1,2,2,1,0,2,1,4,4,2,2
2052,2,81,1,2,4,6,1,1,0,12,9,12,0,0,9,5,-1,2,1,0,0,2,2,1,1,1,3,2,2,1,2,1
2055,1,18,1,5,2,0,2,2,0,8,12,0,0,4,12,1,0.75,2,2,0,2,3,3,3,3,0,0,2,4,4,1,1
2060,1,57,1,3,7,0,2,2,0,12,0,0,0,0,12,7,-1,2,2,0,0,2,1,2,2,0,0,1,2,2,2,1
2063,2,53,1,5,4,2,3,1,1,12,14,6,0,10,12,1,7,2,1,0,1,2,3,3,3,0,0,2,2,2,2,1
2073,2,33,1,1,3,3,3,2,1,9,0,20,12,0,11,7,-1,2,2,1,0,2,1,2,2,0,0,2,1,1,2,1
2075,2,53,1,3,2,6,2,2,0,12,8,0,0,9,11,2,4,1,2,0,1,3,1,1,1,1,1,2,1,1,2,1
2081,2,28,1,1,1,0,2,2,0,14,13,13,14,9,9,2,0.75,2,2,4,3,2,2,1,1,2,2,1,1,1,2,1
2089,1,65,1,1,3,0,2,2,0,8,0,0,11,0,10,5,-1,2,2,8,0,2,2,1,1,1,2,1,1,1,2,2
2093,1,39,1,1,2,4,6,2,1,17,18,18,17,12,12,1,6,2,2,4,2,2,2,1,1,2,3,1,4,4,2,1
2097,2,39,1,1,5,2,4,2,1,12,2,2,12,0,10,7,-1,2,2,1,0,2,2,1,1,2,2,2,1,1,2,2
2105,1,46,3,1,1,3,2,2,0,13,12,12,13,12,12,1,8,1,2,1,2,2,2,2,1,0,2,1,2,2,2,1
2112,2,36,1,1,1,2,6,4,1,12,12,8,12,9,9,1,4,1,2,1,2,2,2,2,2,0,0,2,3,1,2,1
2115,2,75,2,2,8,1,3,1,0,14,8,4,0,0,12,7,-1,1,2,0,0,2,1,1,1,1,1,2,1,1,1,2
2131,1,62,1,1,2,2,2,2,0,12,10,9,15,12,12,5,-1,2,2,7,0,3,2,1,1,1,1,1,1,1,2,1
2133,2,38,1,1,2,2,2,2,0,20,12,0,12,12,12,1,5,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1
2136,2,55,1,1,2,2,1,1,0,12,7,16,12,0,10,7,-1,2,2,7,0,4,2,2,2,0,0,2,2,2,2,1
2144,1,73,1,1,2,1,2,2,0,16,0,12,18,0,8,5,-1,1,2,5,0,3,2,1,1,2,2,1,1,1,2,1
